order_id,order_date,platform_sku,asin,quantity,item_price,currency,order_status,is_refund
O-R1,2026-01-15,ABC-01 ,B001,2,29.99,USD,Completed,false
O-R2,2026-01-15,abc-01,B001,1,19.99,USD,Completed,false
O-R3,2026/1/15,WIDGET-A,B007,1,19.00,USD,Completed,false
O-R4,2026-01-15 00:00:00 UTC,WIDGET-A,B007,1,19.00,USD,Completed,false
O-R5,2026-01-16,Widget-B,B002,1,$0.00,USD,Completed,false
O-R6,2026-01-16,Widget-C,B003,2,N/A,USD,Completed,false
O-R7,2026-01-17,Widget-D,B004,1,,USD,Completed,false
O-R8,2026-01-18,Widget-A,B001,1,-29.99,USD,Refunded,true
O-R9a,2026-01-19,Widget-E,B005,1,-15.00,USD,PartialRefund,true
O-R9b,2026-01-19,Widget-E,B005,1,30.00,USD,Completed,false
O-R10,2026-01-20,Widget-F,B006,1,25.00,GBP,Completed,false
O-123456789012345,2026-01-21,ABC-01,B001,1,19.99,USD,Completed,false
O-R12,2026-01-22,Widget-G,B008,1,12.00,USD,Cancelled,false
O-R1,2026-01-15,ABC-01 ,B001,2,29.99,USD,Completed,false
O-R14,2026-01-23,XYZ-99-orphan,B099,1,49.99,USD,Completed,false
O-R15,2026-01-24,Widget-H,B009,1,18.00,EUR,Completed,false
O-N016,2026-01-16,SKU-016,B016,1,17.99,EUR,Completed,false
O-N017,2026-01-17,SKU-017,B017,1,18.49,USD,Completed,false
O-N018,2026-01-18,SKU-018,B018,1,18.99,USD,Completed,false
O-N019,2026-01-19,SKU-019,B019,1,19.49,USD,Completed,false
O-N020,2026-01-20,SKU-020,B020,1,19.99,EUR,Completed,false
O-N021,2026-01-21,SKU-021,B021,1,20.49,USD,Completed,false
O-N022,2026-01-22,SKU-022,B022,1,20.99,USD,Completed,false
O-N023,2026-01-23,SKU-023,B023,1,21.49,USD,Completed,false
O-N024,2026-01-24,SKU-024,B024,1,21.99,EUR,Completed,false
O-N025,2026-01-25,SKU-025,B025,1,22.49,USD,Completed,false
O-N026,2026-01-26,SKU-026,B026,1,22.99,USD,Completed,false
O-N027,2026-01-27,SKU-027,B027,1,23.49,USD,Completed,false
O-N028,2026-01-28,SKU-028,B028,1,23.99,EUR,Completed,false
O-N029,2026-01-28,SKU-029,B029,1,24.49,USD,Completed,false
O-N030,2026-01-28,SKU-030,B030,1,24.99,USD,Completed,false
O-N031,2026-01-28,SKU-031,B031,1,25.49,USD,Completed,false
O-N032,2026-01-28,SKU-032,B032,1,25.99,EUR,Completed,false
O-N033,2026-01-28,SKU-033,B033,1,26.49,USD,Completed,false
O-N034,2026-01-28,SKU-034,B034,1,26.99,USD,Completed,false
O-N035,2026-01-28,SKU-035,B035,1,27.49,USD,Completed,false
O-N036,2026-01-28,SKU-036,B036,1,27.99,EUR,Completed,false
O-N037,2026-01-28,SKU-037,B037,1,28.49,USD,Completed,false
O-N038,2026-01-28,SKU-038,B038,1,28.99,USD,Completed,false
O-N039,2026-01-28,SKU-039,B039,1,29.49,USD,Completed,false
O-N040,2026-01-28,SKU-040,B040,1,29.99,EUR,Completed,false
O-N041,2026-01-28,SKU-041,B041,1,30.49,USD,Completed,false
O-N042,2026-01-28,SKU-042,B042,1,30.99,USD,Completed,false
O-N043,2026-01-28,SKU-043,B043,1,31.49,USD,Completed,false
O-N044,2026-01-28,SKU-044,B044,1,31.99,EUR,Completed,false
O-N045,2026-01-28,SKU-045,B045,1,32.49,USD,Completed,false
O-N046,2026-01-28,SKU-046,B046,1,32.99,USD,Completed,false
O-N047,2026-01-28,SKU-047,B047,1,33.49,USD,Completed,false
O-N048,2026-01-28,SKU-048,B048,1,33.99,EUR,Completed,false
O-N049,2026-01-28,SKU-049,B049,1,34.49,USD,Completed,false
O-N050,2026-01-28,SKU-050,B050,1,34.99,USD,Completed,false
