ad_date,platform_sku,campaign_id,spend,currency,impressions,clicks
2026-01-15,ABC-01 ,cmp-sku,10.00,USD,200,12
2026-01-15,ABC-01,cmp-sku,5.00,USD,150,8
2026/01/15,widget-a,cmp-sku,2.00,USD,80,4
2026-01-16,Widget-B,cmp-default,$0.00,USD,50,3
2026-01-16,Widget-C,cmp-default,N/A,USD,60,4
2026-01-17,Widget-D,cmp-default,7.50,USD,,
2026-01-18,Widget-A,cmp-sku,3.00,USD,N/A,N/A
2026-01-19,Widget-E,cmp-sku,4.00,EUR,120,7
2026-01-20,Widget-F,冬季促销🔥,6.00,USD,90,6
2026-01-21,ABC-01,cmp-sku,1.50,USD,10,0
2026-01-22,XYZ-99-missing,cmp-default,8.00,USD,200,10
2026-01-12,SKU-016,cmp-default,3.00,USD,50,3
2026-01-12,SKU-017,cmp-default,4.00,USD,60,4
2026-01-12,SKU-018,cmp-default,5.00,USD,70,5
2026-01-13,SKU-013,cmp-013,4.25,USD,180,5
2026-01-14,SKU-014,cmp-014,4.50,USD,190,6
2026-01-15,SKU-015,cmp-015,4.75,EUR,200,2
2026-01-16,SKU-026,cmp-016,5.00,USD,210,3
2026-01-17,SKU-027,cmp-017,5.25,USD,220,4
2026-01-18,SKU-028,cmp-018,5.50,EUR,230,5
2026-01-19,SKU-029,cmp-019,5.75,USD,240,6
2026-01-20,SKU-030,cmp-020,6.00,USD,250,2
2026-01-21,SKU-031,cmp-021,6.25,EUR,260,3
2026-01-22,SKU-032,cmp-022,6.50,USD,270,4
2026-01-23,SKU-033,cmp-023,6.75,USD,280,5
2026-01-24,SKU-034,cmp-024,7.00,EUR,290,6
2026-01-25,SKU-035,cmp-025,7.25,USD,300,2
2026-01-26,SKU-036,cmp-026,7.50,USD,310,3
2026-01-27,SKU-037,cmp-027,7.75,EUR,320,4
2026-01-28,SKU-038,cmp-028,8.00,USD,330,5
2026-01-28,SKU-039,cmp-029,8.25,USD,340,6
2026-01-28,SKU-040,cmp-030,8.50,EUR,350,2
2026-01-28,SKU-041,cmp-031,8.75,USD,360,3
2026-01-28,SKU-042,cmp-032,9.00,USD,370,4
2026-01-28,SKU-043,cmp-033,9.25,EUR,380,5
2026-01-28,SKU-044,cmp-034,9.50,USD,390,6
2026-01-28,SKU-045,cmp-035,9.75,USD,400,2
2026-01-28,SKU-046,cmp-036,10.00,EUR,410,3
2026-01-28,SKU-047,cmp-037,10.25,USD,420,4
2026-01-28,SKU-048,cmp-038,10.50,USD,430,5
2026-01-28,SKU-049,cmp-039,10.75,EUR,440,6
2026-01-28,SKU-050,cmp-040,11.00,USD,450,2
